peclet,effective_diffusivity
10.55,1.530011904761905
10.600000000000001,1.5350476190476192
10.65,1.540107142857143
10.700000000000001,1.5451904761904762
10.75,1.550297619047619
10.8,1.5554285714285716
10.850000000000001,1.5605833333333334
10.9,1.5657619047619047
10.950000000000001,1.5709642857142858
11.0,1.5761904761904761
11.05,1.5814404761904763
11.100000000000001,1.5867142857142857
11.15,1.5920119047619048
11.200000000000001,1.5973333333333335
11.25,1.6026785714285714
11.3,1.608047619047619
11.350000000000001,1.6134404761904761
11.4,1.6188571428571428
11.450000000000001,1.6242976190476193
11.5,1.6297619047619047
11.55,1.63525
11.600000000000001,1.6407619047619049
11.65,1.646297619047619
11.700000000000001,1.651857142857143
11.75,1.6574404761904762
11.8,1.663047619047619
11.850000000000001,1.6686785714285717
11.9,1.6743333333333335
11.950000000000001,1.6800119047619049
12.0,1.6857142857142857
12.05,1.6914404761904762
12.100000000000001,1.6971904761904764
12.15,1.7029642857142857
12.200000000000001,1.708761904761905
12.25,1.7145833333333333
12.3,1.7204285714285716
12.350000000000001,1.7262976190476191
12.4,1.7321904761904763
12.450000000000001,1.7381071428571429
12.5,1.744047619047619
12.55,1.750011904761905
12.600000000000001,1.7560000000000002
12.65,1.7620119047619047
12.700000000000001,1.768047619047619
12.75,1.7741071428571429
12.8,1.7801904761904763
12.850000000000001,1.7862976190476192
12.9,1.7924285714285713
12.950000000000001,1.7985833333333334
13.0,1.8047619047619048
13.05,1.8109642857142858
13.100000000000001,1.8171904761904765
13.15,1.8234404761904761
13.200000000000001,1.8297142857142858
13.25,1.8360119047619048
13.3,1.8423333333333334
13.350000000000001,1.8486785714285716
13.4,1.855047619047619
13.450000000000001,1.8614404761904764
13.5,1.8678571428571429
13.55,1.8742976190476193
13.600000000000001,1.880761904761905
13.65,1.88725
13.700000000000001,1.893761904761905
13.75,1.900297619047619
13.8,1.906857142857143
13.850000000000001,1.9134404761904764
13.9,1.9200476190476192
13.950000000000001,1.9266785714285715
14.0,1.9333333333333333
14.05,1.9400119047619049
14.100000000000001,1.9467142857142858
14.15,1.9534404761904762
14.200000000000001,1.9601904761904763
14.25,1.9669642857142857
14.3,1.9737619047619048
14.350000000000001,1.9805833333333336
14.4,1.9874285714285715
14.450000000000001,1.9942976190476194
14.5,2.001190476190476
14.55,2.008107142857143
14.600000000000001,2.0150476190476194
14.65,2.0220119047619045
14.700000000000001,2.029
14.75,2.0360119047619047
14.8,2.043047619047619
14.850000000000001,2.050107142857143
14.9,2.0571904761904762
14.950000000000001,2.064297619047619
15.0,2.071428571428571
15.05,2.0785833333333334
15.100000000000001,2.085761904761905
15.15,2.092964285714286
15.200000000000001,2.1001904761904764
15.25,2.107440476190476
15.3,2.1147142857142858
15.350000000000001,2.122011904761905
15.4,2.1293333333333333
15.450000000000001,2.136678571428572
15.5,2.144047619047619
15.55,2.1514404761904764
15.600000000000001,2.1588571428571433
15.65,2.166297619047619
15.700000000000001,2.1737619047619052
15.75,2.18125
15.8,2.188761904761905
15.850000000000001,2.1962976190476193
15.9,2.203857142857143
15.950000000000001,2.211440476190476
16.0,2.219047619047619
16.05,2.2266785714285717
16.1,2.2343333333333337
16.150000000000002,2.242011904761905
16.2,2.249714285714286
16.25,2.2574404761904763
16.3,2.265190476190476
16.35,2.272964285714286
16.400000000000002,2.2807619047619054
16.45,2.2885833333333334
16.5,2.2964285714285717
16.55,2.3042976190476194
16.6,2.3121904761904766
16.650000000000002,2.320107142857143
16.7,2.328047619047619
16.75,2.3360119047619046
16.8,2.3440000000000003
16.85,2.352011904761905
16.900000000000002,2.360047619047619
16.95,2.3681071428571423
17.0,2.376190476190476
17.05,2.3842976190476195
17.1,2.392428571428572
17.150000000000002,2.4005833333333335
17.2,2.4087619047619047
17.25,2.4169642857142857
17.3,2.425190476190476
17.35,2.4334404761904764
17.400000000000002,2.441714285714286
17.45,2.4500119047619044
17.5,2.458333333333333
